Boston Celtics: Xavier CooksPF, Dewayne DedmonC, Kennedy ChandlerPG, Julian ChampagnieSF, Johnny DavisSG
New York Knicks: Jeremy SochanPF, Joel EmbiidC, Dyson DanielsPG, Thanasis AntetokounmpoSF, Quentin GrimesSG
Boston Celtics: Draymond GreenPF, Anthony DavisC, Spencer DinwiddiePG, Keegan MurraySF, Ayo DosunmuSG
Atlanta Hawks: Jarrell BrantleyPF, Pascal SiakamC, Jeff DowtinPG, Trey Murphy IIISF, Josh ChristopherSG
Toronto Raptors: Jeff GreenPF, Cody ZellerC, Mike ConleyPG, Mikal BridgesSF, Luke KennardSG
Philadelphia 76ers: Trendon WatfordPF, Kai JonesC, Cory JosephPG, Anthony LambSF, Christian BraunSG
Orlando Magic: Jerami GrantPF, Charles BasseyC, James HardenPG, Franz WagnerSF, Jared RhodenSG
Miami Heat: Obi ToppinPF, Thomas BryantC, Fred VanVleetPG, Jae'Sean TateSF, Bradley BealSG
Milwaukee Bucks: Kyle AndersonPF, Marvin Bagley IIIC, Killian HayesPG, Keita Bates-DiopSF, Kendrick NunnSG
Milwaukee Bucks: Luka Šamani?PF, James WisemanC, George HillPG, Jordan SchakelSF, Will BartonSG
New York Knicks: Jake LaRaviaPF, Bismack BiyomboC, Dyson DanielsPG, Nassir LittleSF, Wesley MatthewsSG
Philadelphia 76ers: Obi ToppinPF, Naz ReidC, Payton PritchardPG, De'Andre HunterSF, David Duke Jr.SG
Boston Celtics: Jeff GreenPF, John ButlerC, Kyrie IrvingPG, Naji MarshallSF, Tyler HerroSG
Toronto Raptors: Kevin LovePF, Jarrett AllenC, Cade CunninghamPG, Jabari WalkerSF, Bogdan Bogdanovi?SG
Indiana Pacers: Robert CovingtonPF, Boban Marjanovi?C, Raul NetoPG, Jaden McDanielsSF, Max ChristieSG
Brooklyn Nets: Grant WilliamsPF, Nick RichardsC, Shai Gilgeous-AlexanderPG, Troy Brown Jr.SF, Terrence RossSG
Atlanta Hawks: Zion WilliamsonPF, Zach CollinsC, Ricky RubioPG, Jordan HallSF, Jared ButlerSG
Washington Wizards: Harrison BarnesPF, Jaren Jackson Jr.C, Damian LillardPG, Louis KingSF, Furkan KorkmazSG
Miami Heat: Kevin KnoxPF, Nikola Vu?evi?C, Vit KrejciPG, Ziaire WilliamsSF, Peyton WatsonSG
Detroit Pistons: Dean WadePF, Christian KolokoC, Miles McBridePG, Duncan RobinsonSF, Kendall BrownSG
Cleveland Cavaliers: Darius DaysPF, Kelly OlynykC, R.J. HamptonPG, Jalen JohnsonSF, Bryce McGowensSG
Charlotte Hornets: Wenyen GabrielPF, Chimezie MetuC, Trae YoungPG, Joe InglesSF, Lindy Waters IIISG
Orlando Magic: Karl-Anthony TownsPF, Walker KesslerC, Luka Don?i?PG, Aaron NesmithSF, Dalen TerrySG
Chicago Bulls: Admiral SchofieldPF, Omer YurtsevenC, LaMelo BallPG, Jimmy ButlerSF, Terry RozierSG
